rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
1,"+earnings 3d",0,0.7936,0.1453,0.874,-0.2298,0.2203,663,0.625,1.096,-0.0923,0.903
2,"live",1,0.9128,0.1625,0.951,-0.2275,0.2883,660,0.625,1.025,-0.0908,0.837
3,"+earnings 7d",0,0.9128,0.1625,0.951,-0.2275,0.2883,660,0.625,1.025,-0.0908,0.837
4,"+patterns +earnings 3d",0,0.7075,0.1323,0.790,-0.2381,0.1988,675,0.583,0.927,-0.1175,0.683
5,"+patterns",0,0.6799,0.1280,0.763,-0.2366,0.1912,680,0.542,0.935,-0.1175,0.674
6,"+52w 0.30",0,0.3014,0.0631,0.507,-0.1883,0.1237,667,0.583,0.729,-0.0908,0.598
7,"+rs 0.15",0,0.8451,0.1528,0.876,-0.2312,0.2729,675,0.583,0.787,-0.1176,0.558
8,"+rs 0.30",0,0.7621,0.1406,0.815,-0.2323,0.2885,718,0.542,0.764,-0.1161,0.512
9,"+squeeze 0.10",0,0.7418,0.1375,0.854,-0.2270,0.2174,662,0.583,0.607,-0.0908,0.400
10,"+52w 0.15",0,0.5349,0.1046,0.696,-0.2084,0.1370,662,0.542,0.416,-0.0908,0.224
