rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
1,"sma20/100 mom252 stop2.5 n8",0,0.6154,0.1178,0.782,-0.2106,0.0729,630,0.625,1.315,-0.0967,1.158
2,"sma20/100 mom252 stop4.0 n8 mkt",0,0.6616,0.1251,0.881,-0.1384,0.2496,411,0.708,0.975,-0.0738,1.015
3,"sma20/100 mom252 stop2.5 n8 regime0.5",0,0.3563,0.0733,0.546,-0.2036,-0.0389,586,0.625,1.126,-0.0931,0.984
4,"sma20/100 mom252 stop2.5 n8 mkt",0,0.8046,0.1469,0.952,-0.1539,0.1351,573,0.625,0.929,-0.0729,0.897
5,"sma50/200 mom126 stop4.0 n8 mkt",0,0.5731,0.1109,0.824,-0.1637,0.1321,323,0.542,0.974,-0.0457,0.895
6,"live: sma50/200 mom63 brk55 stop2.5 n12",1,0.9252,0.1643,0.955,-0.2275,0.3095,659,0.625,1.023,-0.0908,0.835
7,"sma50/200 mom63 stop2.5 n12",0,0.9252,0.1643,0.955,-0.2275,0.3095,659,0.625,1.023,-0.0908,0.835
8,"sma50/200 mom63 stop4.0 n8 regime0.5",0,0.3304,0.0685,0.599,-0.1737,0.1236,273,0.542,0.936,-0.0800,0.819
9,"sma50/200 mom63 stop4.0 n12 mkt",0,0.8223,0.1495,0.997,-0.1685,0.2377,401,0.625,0.824,-0.0593,0.770
10,"sma50/200 mom63 stop4.0 n8 mkt",0,0.4646,0.0926,0.744,-0.1573,0.1514,281,0.583,0.823,-0.0731,0.764
11,"sma50/200 mom63 stop2.5 n8 regime0.5",0,0.5498,0.1071,0.762,-0.1749,0.1102,412,0.583,0.807,-0.0682,0.715
12,"sma20/100 mom252 stop2.5 n8 regime0.5 mkt",0,0.4636,0.0925,0.654,-0.1686,0.0496,571,0.625,0.784,-0.0915,0.714
13,"sma50/200 mom126 stop2.5 n8 mkt",0,0.7742,0.1424,0.893,-0.2169,0.1370,478,0.583,0.891,-0.0770,0.710
14,"sma50/200 mom63 stop2.5 n8",0,0.6689,0.1263,0.810,-0.1852,0.1267,452,0.583,0.795,-0.0727,0.680
15,"sma50/200 mom252 stop4.0 n8",0,0.2717,0.0574,0.503,-0.1837,0.0825,359,0.583,0.790,-0.0685,0.680
16,"sma50/200 mom63 stop4.0 n12",0,0.6538,0.1239,0.848,-0.1786,0.1452,420,0.625,0.752,-0.0764,0.669
17,"sma20/100 mom252 stop2.5 n12 regime0.5 mkt",0,0.3716,0.0761,0.559,-0.1620,0.0506,849,0.583,0.727,-0.0794,0.655
18,"sma20/100 mom252 stop4.0 n8",0,0.4385,0.0881,0.683,-0.1629,0.0865,440,0.583,0.717,-0.0813,0.643
19,"sma20/100 mom252 stop4.0 n12 regime0.5",0,0.4065,0.0824,0.611,-0.1611,0.1235,622,0.625,0.676,-0.0875,0.622
20,"sma50/200 mom252 stop2.5 n12",0,0.4621,0.0922,0.651,-0.2417,0.2031,823,0.583,0.835,-0.0797,0.604
21,"sma50/200 mom63 stop2.5 n8 mkt",0,0.6348,0.1209,0.797,-0.1772,0.0507,425,0.583,0.699,-0.0722,0.600
22,"sma20/100 mom252 stop4.0 n8 regime0.5 mkt",0,0.3829,0.0782,0.618,-0.1415,0.1509,411,0.625,0.587,-0.0731,0.580
23,"sma50/200 mom252 stop2.5 n8",0,0.5203,0.1022,0.729,-0.2267,0.0808,521,0.625,0.758,-0.0914,0.571
24,"sma20/100 mom252 stop2.5 n12 mkt",0,0.5397,0.1054,0.714,-0.1633,0.0811,880,0.583,0.627,-0.0780,0.553
25,"sma20/100 mom252 stop4.0 n12 regime0.5 mkt",0,0.4059,0.0823,0.602,-0.1347,0.1052,588,0.583,0.543,-0.0711,0.530
26,"sma20/100 mom252 stop4.0 n8 regime0.5",0,0.2223,0.0477,0.414,-0.1675,0.0119,440,0.583,0.592,-0.0782,0.509
27,"sma20/100 mom126 stop4.0 n12",0,0.2703,0.0571,0.451,-0.2121,0.0358,635,0.542,0.678,-0.0991,0.476
28,"sma20/100 mom252 stop4.0 n12 mkt",0,0.4240,0.0855,0.599,-0.1783,0.0568,624,0.625,0.559,-0.0860,0.472
